Compound,A1,C18,Ph,CN-R,NH2,CN-N,Si,,
1,-0.39,2.9,2.19,1.49,0.58,-0.76,-0.41,,
2,-1.58,3.17,2.67,1.62,0.11,-0.82,-0.52,,
3,-1.13,3.2,2.69,1.55,-0.31,-0.96,-0.33,,
4,-1.18,3.25,2.78,1.78,-0.56,-0.99,-0.55,,
5,-0.71,3.26,2.77,1.83,-0.53,-0.91,-0.45,,
6,-1.58,3.16,2.71,1.66,0.1,-0.8,-0.51,,
7,-0.43,3.26,2.74,1.68,0.62,-0.71,-0.39,,
8,-2.79,3.29,2.96,1.67,-0.35,-1.19,-0.71,,
9,-1.15,3.59,3.12,1.97,-0.62,-0.93,-0.56,,
10,-0.39,3.68,3.16,1.93,-0.54,-0.82,-0.5,,
11,-0.64,4.17,3.46,2.12,-0.56,-0.97,-0.55,,
12,-2.14,4.77,3.72,2.29,-0.82,-1.37,-0.8,,
13,-3.57,5.04,4.04,2.44,-1.14,-1.4,-0.86,,
