Object,Class,Ti,Sr_ppm,Ba_ppm,Mn_ppm,Cr_ppm,Ca,Al,Fe,Mg,Na,K
A1,A,0.304,181,1007,642,60,1.64,8.342,3.542,0.458,0.548,1.799
A2,A,0.316,194,1246,792,64,2.017,8.592,3.696,0.509,0.537,1.816
A3,A,0.272,172,842,588,48,1.587,7.886,3.221,0.54,0.608,1.97
A4,A,0.301,147,843,526,62,1.032,8.547,3.455,0.546,0.664,1.908
A5,A,0.908,129,913,775,184,1.334,11.229,4.637,0.395,0.429,1.521
E1,A,0.394,105,1470,1377,90,1.37,10.344,4.543,0.408,0.411,2.025
E2,A,0.359,96,1188,839,86,1.396,9.537,4.099,0.427,0.482,1.929
E3,A,0.406,137,1485,1924,90,1.731,10.139,4.49,0.502,0.415,1.93
E4,A,0.418,133,1174,1325,91,1.432,10.501,4.641,0.548,0.5,2.081
L1,A,0.36,111,410,652,70,1.129,9.802,4.28,0.738,0.476,2.019
L2,A,0.28,112,1008,838,59,1.458,8.96,3.828,0.535,0.392,1.883
L3,A,0.271,117,1171,681,61,1.456,8.163,3.265,0.521,0.509,1.97
L4,A,0.288,103,915,558,60,1.268,8.465,3.437,0.572,0.479,1.893
L5,A,0.253,102,833,415,193,1.226,7.207,3.102,0.539,0.577,1.972
C1,A,0.303,131,601,1308,65,0.907,8.401,3.743,0.784,0.704,2.473
C2,A,0.264,121,878,921,69,1.164,7.926,3.431,0.636,0.523,2.032
C3,A,0.264,112,1622,1674,63,0.922,7.98,3.748,0.549,0.497,2.291
C4,A,0.252,111,793,750,53,1.171,8.07,3.536,0.599,0.551,2.282
C5,A,0.261,127,851,849,61,1.311,7.819,3.77,0.668,0.508,2.121
G8,A,0.397,177,582,939,61,1.26,8.694,4.146,0.656,0.579,1.941
G9,A,0.246,106,1121,795,53,1.332,8.744,3.669,0.571,0.477,1.803
G10,A,1.178,97,886,530,441,6.29,8.975,6.519,0.323,0.275,0.762
G11,A,0.428,457,1488,1138,85,1.525,9.822,4.367,0.504,0.422,2.055
P1,B,0.259,389,399,443,175,11.609,5.901,3.283,1.378,0.491,2.148
P2,B,0.185,233,456,601,144,11.043,4.674,2.743,0.711,0.464,0.909
P3,B,0.312,277,383,682,138,8.43,6.55,3.66,1.156,0.532,1.757
P6,B,0.183,220,435,594,659,9.978,4.92,2.692,0.672,0.476,0.902
P7,B,0.271,392,427,410,125,12.009,5.997,3.245,1.378,0.527,2.173
P8,B,0.203,247,504,634,117,11.112,5.034,3.714,0.726,0.5,0.984
P9,B,0.182,217,474,520,92,12.922,4.573,2.33,0.59,0.547,0.746
P14,B,0.271,257,485,398,955,11.056,5.611,3.238,0.737,0.458,1.013
P15,B,0.236,228,203,592,83,9.061,6.795,3.514,0.75,0.506,1.574
P16,B,0.288,333,436,509,177,10.038,6.579,4.099,1.544,0.442,2.4
P17,B,0.331,309,460,530,97,9.952,6.267,3.344,1.123,0.519,1.746
P18,B,0.256,340,486,486,132,9.797,6.294,3.254,1.242,0.641,1.918
P19,B,0.292,289,426,531,143,8.372,6.874,3.36,1.055,0.592,1.598
P20,B,0.212,260,486,605,123,9.334,5.343,2.808,1.142,0.595,1.647
F1,B,0.301,320,475,556,142,8.819,6.914,3.597,1.067,0.584,1.635
F2,B,0.305,302,473,573,102,8.913,6.86,3.677,1.365,0.616,2.077
F3,B,0.3,204,192,575,79,7.422,7.663,3.476,1.06,0.521,2.324
F4,B,0.225,181,160,513,94,5.32,7.746,3.342,0.841,0.657,2.268
F5,B,0.306,209,109,536,285,7.866,7.21,3.528,0.971,0.534,1.851
F6,B,0.295,396,172,827,502,9.019,7.775,3.808,1.649,0.766,2.123
F7,B,0.279,230,99,760,129,5.344,7.781,3.535,1.2,0.827,2.305
D1,B,0.292,104,993,723,92,7.978,7.341,3.393,0.63,0.326,1.716
D2,B,0.338,232,687,683,108,4.988,8.617,3.985,1.035,0.697,2.215
D3,B,0.327,155,666,590,70,4.782,7.504,3.569,0.536,0.411,1.49
D4,B,0.233,98,560,678,73,8.936,5.831,2.748,0.542,0.282,1.248
M1,B,0.242,186,182,647,92,5.303,8.164,4.141,0.804,0.734,1.905
M2,B,0.271,473,198,459,89,10.205,6.547,3.035,1.157,0.951,0.828
M3,B,0.207,187,205,587,87,6.473,7.634,3.497,0.763,0.729,1.744
G1,B,0.271,195,472,587,104,5.119,7.657,3.949,0.836,0.671,1.845
G2,B,0.303,233,522,870,130,4.61,8.937,4.195,1.083,0.704,1.84
G3,B,0.166,193,322,498,80,7.633,6.443,3.196,0.743,0.46,1.39
G4,B,0.227,170,718,1384,87,3.491,7.833,3.971,0.783,0.707,1.949
G5,B,0.323,217,267,835,122,4.417,9.017,4.349,1.408,0.73,2.212
G6,B,0.291,272,197,613,86,6.055,7.384,3.343,1.214,0.762,2.056
G7,B,0.461,318,42,653,123,6.986,8.938,4.266,1.579,0.946,1.687
