SampleID,Class,Quarry,Fe,Ti,Ba,Ca,K,Mn,Rb,Sr,Y,Zr
KAVG,1,K,1100,390,55,920,460,45,120,57,58,142
K-1B,1,K,1173,417,54,961,441,47,135,55,60,145
K-2,1,K,1164,404,56,916,446,42,120,58,45,148
K-3A,1,K,1030,373,59,920,487,38,128,53,58,138
K-1C,1,K,1077,373,55,888,455,38,97,51,54,145
K-1D,1,K,1080,403,53,919,442,41,133,60,45,155
K-3B,1,K,1020,360,59,883,473,43,119,40,50,134
K-4R,1,K,1050,396,56,924,482,48,140,74,71,157
K-4B,1,K,1100,373,53,910,477,51,137,61,58,152
K-1A,1,K,1069,375,51,958,429,42,100,51,47,128
BLAV1,2,BL,863,183,8,626,452,34,121,15,58,70
BLAV9,2,BL,1108,289,7,783,426,41,109,15,57,67
BL-2,2,BL,1210,276,10,966,430,44,117,20,44,73
BL-3,2,BL,1205,291,10,975,420,43,115,25,58,73
BL-6,2,BL,1100,267,10,910,500,40,145,25,65,95
BL-7,2,BL,1100,280,10,872,515,49,145,38,60,65
BLAV7,2,BL,689,114,9,534,404,26,110,25,50,55
BL-1,2,BL,1186,257,10,940,431,40,121,20,53,73
BL-8,2,BL,860,182,7,722,418,33,115,20,55,53
SH-1,3,SH,952,131,37,320,430,34,118,25,65,165
SH-15,3,SH,933,120,36,321,414,31,125,10,59,163
SH-S1,3,SH,999,129,38,343,446,34,121,15,52,161
SH-68,3,SH,975,136,38,333,418,36,111,10,53,147
SH-2,3,SH,885,118,32,294,382,27,95,15,55,134
SH-3,3,SH,928,127,37,337,455,30,109,15,47,151
SH-5,3,SH,890,122,33,315,380,34,106,15,60,155
SH-13,3,SH,840,133,42,320,405,31,100,10,55,197
SHII7,3,SH,890,119,37,272,384,32,117,15,50,160
SHV18,3,SH,1000,135,36,335,385,32,100,15,50,135
SHIL1,3,SH,930,131,32,342,385,28,100,10,55,140
SHIL1,3,SH,880,156,36,279,388,37,103,15,53,143
SHII1,3,SH,960,137,35,315,390,34,110,10,60,167
SHV12,3,SH,970,133,40,310,390,36,115,15,65,160
SHV24,3,SH,819,131,38,435,392,35,108,15,54,150
SHII5,3,SH,932,147,37,318,393,32,122,28,56,174
SHIIK,3,SH,970,140,40,338,394,36,118,15,61,160
SHIL1,3,SH,1000,146,41,360,394,33,125,15,48,170
SHV12,3,SH,970,133,40,310,390,36,115,15,65,160
SHI10,3,SH,930,140,36,335,395,33,100,10,65,170
SHI13,3,SH,960,138,35,323,395,52,103,10,55,145
SHV14,3,SH,990,142,38,405,400,37,122,15,60,155
SHII7,3,SH,918,133,35,317,408,35,120,15,58,190
ANA-2,4,AN,1525,270,54,860,345,65,83,47,60,203
ANA-3,4,AN,1565,374,54,813,295,59,88,42,49,187
ANA-4,4,AN,1705,441,66,835,310,66,91,44,42,187
ANA-5,4,AN,1650,294,60,945,367,62,91,39,58,192
ANA-6,4,AN,1630,314,54,934,340,67,95,33,38,220
ANA-7,4,AN,1635,405,58,868,311,56,83,47,60,154
ANA-8,4,AN,1635,385,55,845,290,62,85,47,58,196
ANA-9,4,AN,1480,310,54,850,320,66,71,27,47,184
ANA-1,4,AN,1720,425,58,893,316,65,93,33,44,192
ANA-1,4,AN,1560,269,56,915,350,64,96,47,52,194
ANA-1,4,AN,1705,333,55,1010,345,74,94,45,61,217
ANA-1,4,AN,1700,360,55,945,355,60,100,47,58,183
ANA-1,4,AN,1675,342,56,920,360,61,91,49,59,215
ANA-1,4,AN,1695,358,57,920,347,67,93,42,71,192
ANA-1,4,AN,1645,327,65,940,322,69,88,44,60,208
ANA-1,4,AN,1720,392,58,890,344,64,97,48,50,181
ANA-1,4,AN,1620,385,55,835,295,59,87,22,60,203
ANA-1,4,AN,1615,337,50,850,320,66,92,48,66,212
ANA-1,4,AN,1675,325,62,930,350,66,89,50,63,224
ANA-2,4,AN,1685,353,59,875,318,60,91,41,60,203
ANA-2,4,AN,1600,316,54,915,347,83,82,52,66,209
s1,0,u,1050,195,46,865,400,36,97,10,50,160
s2,0,u,1010,357,65,900,455,42,112,65,55,145
s3,0,u,920,320,60,830,440,33,110,43,60,143
s4,0,u,1000,194,58,965,460,42,125,30,60,145
s5,0,u,920,215,6,650,435,37,122,15,65,75
s6,0,u,780,140,12,605,415,35,130,15,50,70
s7,0,u,680,105,10,460,400,31,127,15,57,87
s8,0,u,920,127,39,475,430,34,98,5,60,156
s9,0,u,900,115,37,310,440,34,108,30,60,175
s10,0,u,920,138,41,350,450,34,110,20,62,157
s11,0,u,775,110,35,327,337,34,93,15,65,132
s12,0,u,935,131,38,360,420,37,105,10,85,150
