height,weight,shoe_size,belly_size,neck_diameter,sex
185,91,44.5,103,42,0
196,98,43.5,100,39,0
186,75,45.5,90,39,0
169,59,41,83,38,0
160,57,37,74,34,1
178,72,44,85,37,0
162,55,38,70,31,1
183,65,41,75,34,0
177,66.5,41,90,37,0
170,63,39,72,35,1
160,57,39,81,35,0
190,80,46,83,36,0
172,82,42,93,41,0
183,70,43,91,38,0
181,71,42,91,39,0
185,78,42,89,39,0
183,77,44,105,41,0
183,90,42,106,46,0
180,80,41,58,41,0
187,81,44,87,41,0
163,60,38,76,34,1
164,55,39,76,31,1
170,74,41,94,39,0
170,75,37,99,37,1
173,56,38.5,65,32,1
168,75,41,99,39,0
176,72,41.5,85,38,0
172,73,41,92,41,0
180,83,43,89,38,0
172,82,42,100,41,0
162,55,39,68,32,1
186,105,45,115,43,0
187,90,43,93,41,0
165,55,37.5,76,33,1
181,78,45,99,40,0
188,72,43.5,77,33,0
185,81,44.5,95,40,0
188,75,44.5,87,37,0
187,73,43,85,39,0
178,84,43,98,41,0
173,61,38,70,33,1
189,75,45,87,38,0
177,70,41,89,37,0
181,76,42,87,39,0
170,70,39,81,35,1
170,57,39,70,35,1
186,85,42,87,38,0
