Fe203,MnO,TiO2,CaO,K20,SiO2,Al203,P205,MgO,Na20
2.01,2.38,0.64,5.5,0.32,63.62,2.64,0.03,1.13,16.94
2.09,2.1,0.58,6.08,0.4,62.55,2.8,0.06,1.07,17.75
0.9,1.51,0.25,5.48,0.27,65.03,2.01,0.04,0.74,18.55
1.26,1.83,0.34,5.61,0.3,64.41,2.2,0.03,0.9,18
1.26,1.85,0.45,5.69,0.3,64.82,2.27,0.03,0.95,18.3
2.23,2.06,0.51,5.74,0.3,65.65,2.65,0.03,1.14,16.98
2.27,2.11,0.56,5.24,0.38,61.56,2.95,0.05,1.11,18.7
2.2,2.02,0.53,5.78,0.29,66.68,2.74,0.03,1.13,16.44
2.07,2.16,0.73,5.89,0.4,66.65,2.85,0.04,1.2,15.94
1.65,2.48,0.42,6.02,0.35,65.96,2.75,0.05,1.5,17.1
2.59,2.26,0.6,5.61,0.33,66.09,3,0.05,1.23,15.42
1.46,2.34,0.47,5.44,0.3,65.92,2.74,0.02,0.99,16.88
2.01,2.03,0.39,5.31,0.28,66.85,3.05,0.04,1.42,17.14
2.21,2.23,0.52,5.42,0.34,65.31,2.62,0.04,0.88,16.02
1.88,2.28,0.52,5.73,0.42,61.4,2.89,0.05,0.87,17.96
2.06,2.08,0.49,6.07,0.41,63.21,2.62,0.07,1.03,17.57
2.04,1.92,0.65,5.5,0.36,64.7,3.64,0.04,0.93,16.81
1.67,1.68,0.49,5.23,0.34,65.15,2.77,0.03,0.93,14.88
1.34,1.88,0.35,5.85,0.31,64.75,2.86,0.03,0.93,18.59
0.61,0.05,0.13,7.39,0.37,67.25,2.65,0.15,0.52,15.37
0.98,0.41,0.09,6.09,0.79,64.19,2.64,0.17,0.42,15.31
1.7,1.66,0.54,9.04,0.87,61.68,2.97,0.07,1.08,12.04
1.67,1.68,0.51,11.33,1.12,61.3,2.86,0.09,1.15,10.05
0.75,0.08,0.11,4.67,0.58,64.25,2.44,0.06,0.44,16.21
2.46,2.14,0.61,5.4,0.33,62.17,2.72,0.05,1.17,15.15
0.38,0.04,0.1,7.96,0.78,33.23,2.83,0.05,0.46,14.56
0.56,1.03,0.17,7.56,0.6,62.62,2.5,0.11,0.55,15.89
0.42,1.25,0.1,7.46,0.53,64.71,2.57,0.09,0.51,14.56
1.57,2.09,0.44,4.46,0.27,62.63,2.62,0.02,0.84,18.18
0.86,1.44,0.21,5.29,0.26,63.26,1.95,0.03,0.66,17.72
2.27,2.05,0.47,5.52,0.33,63.38,2.46,0.06,0.86,16.63
1.75,2.41,0.57,4.7,0.31,58.67,2.78,0.04,1.19,18.15
0.59,0.89,0.09,7.65,0.51,66.25,2.7,0.1,0.45,15.79
1.97,2.03,0.57,5.9,0.33,61.45,2.66,0.05,0.91,17.43
2.09,1.99,0.47,5.28,0.3,62.88,2.4,0.06,0.84,16.32
1.98,2,0.51,6.06,0.38,62.26,2.58,0.07,1.01,18
2.64,1.93,0.51,5.61,0.46,65.27,2.9,0.07,0.89,16.71
2.24,0.28,0.18,5.6,0.62,59.01,2.63,0.48,0.82,15.09
0.95,0.57,0.09,6.68,0.48,61.99,2.34,0.13,0.46,3.51
4.14,0.06,0.53,2.4,3.43,72.33,12.77,0.09,0.98,0.6
4.01,0.06,0.49,6.48,3.55,69.35,11.65,0.09,1.73,0.61
8.59,0.06,0.41,10.11,3.74,62.73,10,0.32,1.2,0.58
8.1,0.15,0.93,1.14,3.35,60.55,18.2,0.14,2.46,0.98
10.42,0.16,0.83,1.88,3.08,64.2,14.26,0.2,1.7,0.56
7.75,0.07,0.53,8.83,3.72,63.95,11.86,0.36,1.55,0.49
11.49,0.3,0.42,8.28,3.47,58.68,9.84,0.48,1.43,0.51
16.03,0.47,0.64,3.66,4.16,50.24,14.48,0.3,1.83,0.6
3.68,0.06,0.54,0.61,3.46,73.86,8.11,0.13,1.03,0.09
9.29,0.34,0.39,7.11,2.09,58.55,11.64,0.14,1.92,1.07
43.68,0.07,0.17,19.95,0.56,20.9,3.05,3,1.56,0.01
