Type,No,P1,P2,P3,P4,P5,P6,P7
2035,18,5138.58,6804.7,7313.49,8178.65,8681.82,9293.94,10245.45
2035,18,5138.5,6804.81,7313.49,8178.71,8681.73,9293.93,10245.49
2035,18,5138.47,6804.87,7313.43,8178.82,8681.62,9293.82,10245.52
2035,18,5138.46,6804.88,7313.67,8178.8,8681.52,9293.89,10245.54
2035,18,5138.46,6804.96,7313.54,8178.82,8681.63,9293.79,10245.51
2035,18,5138.45,6804.95,7313.59,8178.82,8681.7,9293.89,10245.53
2035,101,5138.57,6804.77,7313.54,8178.69,8681.7,9293.9,10245.48
2035,101,5138.51,6804.82,7313.57,8178.75,8681.73,9293.88,10245.53
2035,101,5138.49,6804.91,7313.57,8178.82,8681.63,9293.8,10245.55
2035,101,5138.47,6804.88,7313.5,8178.84,8681.63,9293.78,10245.55
2035,101,5138.48,6804.97,7313.57,8178.8,8681.7,9293.79,10245.5
2035,101,5138.47,6804.99,7313.59,8178.84,8681.67,9293.82,10245.52
2035,102,5138.54,6804.77,7313.49,8178.69,8681.62,9293.88,10245.49
2035,102,5138.5,6804.89,7313.45,8178.78,8681.66,9293.82,10245.54
2035,102,5138.45,6804.95,7313.49,8178.77,8681.65,9293.69,10245.53
2035,102,5138.48,6804.96,7313.55,8178.81,8681.65,9293.8,10245.52
2035,102,5138.47,6805,7313.53,8178.83,8681.62,9293.8,10245.52
2035,102,5138.46,6804.97,7313.54,8178.83,8681.7,9293.81,10245.52
2035,103,5138.52,6804.73,7313.42,8178.75,8681.73,9293.93,10245.48
2035,103,5138.48,6804.9,7313.53,8178.78,8681.63,9293.84,10245.48
2035,103,5138.45,6804.93,7313.52,8178.73,8681.72,9293.83,10245.56
2035,103,5138.47,6804.96,7313.53,8178.78,8681.59,9293.79,10245.51
2035,103,5138.46,6804.94,7313.51,8178.81,8681.65,9293.77,10245.52
2035,103,5138.48,6804.98,7313.57,8178.82,8681.51,9293.8,10245.51
2035a,200,5139.26,6806.45,7314.93,8180.19,8682.57,9294.46,10245.62
2035a,200,5139.22,6806.47,7315.03,8180.26,8682.52,9294.35,10245.66
2035a,200,5139.21,6806.56,7314.92,8180.26,8682.61,9294.34,10245.68
2035a,200,5139.2,6806.56,7314.9,8180.23,8682.49,9294.31,10245.69
2035a,200,5139.19,6806.58,7314.95,8180.24,8682.64,9294.32,10245.67
2035a,200,5139.2,6806.5,7314.97,8180.21,8682.58,9294.27,10245.64
Y,201,5138.53,6804.82,7313.62,8178.78,8681.78,9293.77,10245.52
Y,201,5138.49,6804.87,7313.47,8178.75,8681.66,9293.74,10245.52
Y,201,5138.48,6805,7313.54,8178.85,8681.67,9293.75,10245.54
Y,201,5138.48,6804.97,7313.54,8178.82,8681.7,9293.79,10245.53
Y,201,5138.47,6804.96,7313.51,8178.77,8681.52,9293.85,10245.54
