Type,heptacosane,13-methylheptacosane,"13,15-dimethylheptacosane",3-methylheptacosane,"3,9-dimethylheptacosane"
Forager,150.5399933,125.3199997,165.7799988,187.2299957,146.3399963
Forager,9.4460001,4.652,5.0890002,6.7150002,7.6589999
Forager,2.2750001,7.4879999,5.8460002,3.161,6.9990001
Forager,8.4289999,8.7580004,6.0349998,4.4889998,3.155
Forager,4.3990002,6.073,7.395,1.627,2.0799999
Forager,6.2909999,8.1990004,1.4299999,1.651,5.5359998
Forager,6.6739998,1.946,5.1209998,6.3720002,1.194
Forager,1.749,4.9439998,8.6280003,2.3110001,5.513
Forager,3.0480001,6.2309999,5.2199998,9.6099997,3.046
Forager,2.908,4.8049998,3.8699999,5.941,5.3629999
Forager,6.9219999,4.9299998,1.826,2.48,9.8290005
Forager,7.4759998,3.589,9.2309999,2.2590001,5.7329998
Forager,5.756,9.9580002,7.9190001,7.2270002,1.535
Forager,4.1750002,2.6960001,3.9360001,3.5569999,5.6739998
Forager,2.8710001,9.4250002,4.7659998,7.3119998,9.8470001
Forager,8.5769997,5.0580001,1.0470001,7.0180001,3.8699999
Forager,4.348,6.5830002,5.7280002,2.9820001,2.9920001
Forager,6.6890001,8.7390003,4.4920001,8.2969999,3.0409999
Forager,9.4549999,7.8000002,2.158,2.3789999,9.2980003
Forager,9.2659998,9.0769997,2.0339999,7.6269999,6.5219998
Forager,5.5029998,4.5500002,6.2259998,4.0380001,8.8669996
Forager,7.3449998,1.293,3.187,3.2920001,2.4489999
Forager,2.352,8.5319996,1.901,8.2349997,8.6300001
Forager,3.109,7.5630002,3.125,2.4619999,8.0089998
Forager,4.0749998,9.1000004,4.3930001,7.7270002,5.5110002
Forager,2.5550001,4.7350001,5.8850002,5.698,7.2989998
Forager,6.4640002,3.3,6.1129999,6.7210002,3.5209999
Forager,1.567,9.8079996,5.3299999,9.5319996,3.487
Forager,8.783,5.1360002,6.777,1.7819999,9.7799997
Forager,6.6090002,4.1110001,4.8369999,9.8360004,3.9679999
Forager,6.8790002,5.6090002,3.993,3.6459999,3.119
Forager,9.4390001,7.7329998,6.7810001,4.4840002,9.8299999
Forager,1.654,7.6760001,7.6079998,3.6140001,2.2060001
Forager,3.734,5.677,5.2740002,7.0380001,3.6600001
Forager,2.135,9.4729996,8.3500004,9.809,5.401
Forager,6.3439999,3.96,4.158,3.3210001,5.2870002
Forager,2.006,8.5909996,9.868,7.118,9.3570004
Forager,1.592,9.3570004,9.6879997,3.7479999,8.2889996
Forager,3.5940001,9.4309998,9.2779999,8.9989996,1.018
Forager,9.4449997,4.2680001,3.223,8.7119999,7.5209999
Forager,2.26,4.152,6.8660002,1.817,9.25
Forager,7.7249999,6.02,4.7179999,8.4560003,1.52
Forager,2.125,2.6229999,2.7939999,1.176,2.0699999
Forager,7.27,8.2480001,1.466,5.1550002,6.8179998
Forager,2.8280001,1.552,7.244,5.5669999,4.7389998
