sample,day,plenum_1,plenum_2,plenum_3,deepest ,deep_2  ,deep_3  ,midlevel,shallow ,surface ,coldcap 
1,1,519,633,1180,1220,1200,780,538,397,1190,1110
2,1,509,599,1190,1220,1200,822,526,397,1190,1090
3,1,495,575,1190,1220,1200,830,512,393,1190,1110
4,1,496,576,1190,1210,1200,859,506,387,1190,1120
5,1,494,576,1190,1200,1190,839,501,381,1180,1100
6,1,499,563,1190,1200,1190,847,501,382,1180,1140
7,1,496,541,1190,1200,1200,750,486,382,1190,1170
8,1,502,538,1190,1210,1200,874,484,382,1200,1150
9,1,509,540,1190,1210,1190,786,472,374,1190,1150
10,1,509,535,1190,1210,1190,904,473,373,1190,1170
11,1,510,537,1190,1210,1190,956,480,379,1190,1160
12,1,510,536,1180,1210,1180,782,468,377,1190,1150
13,1,509,532,1180,1210,1180,834,472,372,1200,1150
14,1,510,519,1180,1200,1180,907,471,370,1200,1140
15,1,504,524,1180,1210,1180,963,461,370,1200,1140
16,1,510,536,1180,1210,1190,939,475,374,1200,1120
17,1,511,529,1180,1210,1190,941,496,378,1200,1070
18,1,506,534,1180,1210,1190,916,506,380,1190,1080
19,1,509,533,1180,1210,1190,888,515,385,1200,1100
20,1,510,540,1180,1220,1180,972,595,390,1210,1140
21,1,509,564,1180,1220,1170,998,590,397,1210,1120
22,1,499,560,1180,1220,1170,845,549,390,1210,1090
23,1,502,543,1180,1210,1190,710,522,385,1210,1130
24,1,505,561,1180,1220,1190,624,511,386,1190,1100
25,1,506,556,1180,1220,1200,579,509,379,1200,1140
26,1,500,570,1190,1230,1200,588,494,375,1200,1140
27,1,501,625,1190,1220,1200,646,492,376,1210,1150
28,1,507,694,1180,1230,1200,580,486,379,1200,1150
29,1,509,755,1180,1220,1210,589,478,389,1200,1170
30,1,509,789,1180,1220,1210,640,475,407,1190,1160
31,1,506,763,1180,1230,1200,661,477,412,1200,1190
32,1,502,670,1190,1230,1200,672,470,413,1200,1200
33,1,503,643,1190,1230,1210,734,469,412,1200,1190
34,1,505,640,1190,1220,1200,661,462,412,1200,1180
35,1,509,671,1190,1220,1190,745,460,420,1200,1180
36,1,503,765,1190,1220,1210,789,458,428,1200,1120
37,1,509,815,1190,1210,1202.287605,831,451,431,1200,1080
38,1,514,722,1190,1210,1195.112609,860,447,434,1200,1100
39,1,519,663,1190,1210,1203.122248,877,446,443,1200,1130
40,1,526,636,1190,1220,1203.956891,878,447,468,1190,1150
41,1,537,619,1190,1220,1205.920434,855,449,506,1190,1180
42,1,555,638,1190,1220,1206.755078,849,464,520,1190,1210
43,1,605,622,1190,1220,1205.920434,870,467,528,1200,1220
44,1,657,600,1190,1210,1195.112609,934,468,544,1200,1210
45,1,689,587,1180,1210,1203.956891,1040,462,641,1200,1220
46,1,721,576,1190,1220,1204.791534,975,456,735,1190,1220
47,1,735,576,1190,1210,1205.920434,910,458,776,1200,1160
48,1,765,587,1190,1200,1196.241509,927,447,783,1180,1100
49,1,791,604,1180,1200,1184.59904,924,443,788,1200,1060
50,1,804,580,1180,1190,1195.112609,927,445,790,1200,1050
51,1,818,563,1180,1170,1185.433683,976,443,791,1190,1040
52,1,832,554,1180,1160,1187.397227,1050,444,790,1190,991
53,1,841,554,1180,1160,1176.295144,967,442,789,1180,1000
54,1,846,561,1180,1160,1184.304783,949,430,787,1190,972
55,1,807,550,1180,1150,1200,938,425,784,1180,962
56,1,778,538,1190,1150,1190,957,423,782,1190,950
57,1,761,526,1190,1170,1190,971,425,779,1190,941
58,1,743,518,1190,1170,1180,976,423,776,1190,916
59,1,733,511,1190,1180,1180,866,417,774,1170,946
60,1,731,512,1180,1170,1190,662,430,773,1170,944
61,1,717,513,1190,1180,1190,637,440,774,1170,944
62,1,711,507,1190,1170,1190,650,445,739,1170,885
63,1,720,494,1190,1160,1190,600,454,716,1170,914
64,1,703,491,1190,1170,1180,634,446,696,1180,922
65,1,693,495,1190,1180,1190,785,440,658,1190,906
66,1,679,491,1190,1180,1190,767,437,628,1170,935
67,1,667,492,1190,1180,1190,772,431,621,1180,944
68,1,662,509,1190,1170,1180,774,435,611,1190,938
69,1,654,514,1190,1190,1190,805,437,593,1190,925
70,1,644,516,1180,1190,1190,772,437,584,1190,931
71,1,637,571,1180,1190,1200,795,435,575,1190,934
72,1,634,592,1180,1190,1190,859,437,563,1180,890
73,1,630,574,1180,1190,1190,768,430,553,1180,856
74,1,633,563,1190,1190,1200,882,425,547,1180,833
75,1,630,552,1190,1190,1190,867,413,545,1180,814
76,1,628,551,1190,1190,1190,848,408,545,1170,805
77,1,621,547,1180,1190,1180,808,414,546,1180,802
78,1,617,556,1180,1200,1190,836,412,541,1180,801
79,1,613,630,1180,1200,1190,914,413,532,1180,806
80,1,618,721,1190,1200,1210,902,422,525,1170,814
81,1,610,774,1180,1200,1210,896,427,521,1170,822
82,1,606,756,1190,1190,1210,998,428,518,1180,829
83,1,614,659,1190,1200,1200,958,424,515,1170,848
84,1,602,618,1190,1200,1200,969,429,509,1170,858
85,1,600,621,1190,1200,1210,987,424,503,1180,849
86,1,599,604,1190,1200,1220,1050,414,498,1170,868
87,1,596,573,1190,1200,1210,1070,401,495,1170,874
88,1,607,578,1190,1200,1190,1080,401,492,1170,886
89,1,600,576,1190,1200,1200,1070,400,490,1170,904
90,1,601,567,1180,1200,1200,875,408,486,1180,906
91,1,592,579,1180,1200,1210,851,405,483,1170,908
92,1,587,584,1190,1200,1210,829,405,478,1180,913
