sample,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,Y
1,1132.94,1161.44,1156.75,1139,1116,1061,1001,886,706,498,1159.19,1149.19,1145.63,1137.88,1127.19,1111.69,1036.88,971,714.19,496.8,20.45
2,1129.13,1147.13,1149.5,1139,1122,1067,1008,896,712,496,1162,1149.06,1155.5,1154.75,1143.25,1126.69,1050.69,991,725,495.39,20.51
3,1120.31,1170.38,1152.38,1141,1126,1071,1012,882,691,460,1163.44,1162.13,1149.5,1148.06,1136.25,1119,1045.38,981.69,717.28,487.59,20.42
4,1125.31,1174.19,1158.81,1151,1137,1083,1025,909,710,481,1156.63,1153.88,1151.5,1149.06,1135.69,1118.25,1040.25,977.09,714.47,491,20.52
5,1133.63,1163.88,1159.38,1150,1135,1082,1030,921,725,489,1166.13,1153.56,1151.69,1145.56,1135.38,1119.44,1046.88,985.28,728,493.48,20.6
6,1127.94,1168.06,1156.75,1146,1130,1077,1022,915,723,490,1158.06,1153.25,1151.13,1145.44,1132.19,1114,1046,990,732.28,493.09,20.62
7,1121.94,1166.25,1154.75,1148,1135,1083,1033,929,733,489,1156.75,1152.19,1142.75,1136.25,1122.88,1105.75,1041.44,983.78,732.28,491.8,20.68
8,1124.94,1168.06,1156.75,1150,1134,1083,1031,931,738,488,1159,1157,1150.75,1146,1133.06,1113.75,1051.19,999.09,746.59,490.48,20.68
9,1124.94,1164.81,1155.31,1143,1125,1072,1024,928,742,490,1159.13,1155.63,1144.94,1140,1125.56,1107.69,1049,1001.69,749.78,489.48,20.88
10,1127.75,1159.44,1153.63,1146,1131,1084,1038,945,754,490,1157.13,1157.06,1151.38,1152.56,1139.75,1124.56,1061,1016.19,761.59,488.3,20.84
11,1125.19,1155.38,1150.06,1135,1120,1074,1035,946,759,490,1148.81,1145.75,1147.5,1143.19,1130.44,1113.44,1061.88,1012.47,761.47,488.69,20.88
12,1125.31,1158.44,1152.94,1145,1127,1074,1030,945,763,490,1157.63,1153.75,1143.88,1146,1138.19,1127.06,1073.88,1030.56,781.88,488.8,20.9
13,1129.63,1159.94,1156.88,1147,1132,1085,1039,949,764,491,1155.63,1157.88,1150.38,1148.19,1136.19,1120.56,1071.06,1026.25,783.88,488.3,20.77
14,1126.5,1164.38,1154.56,1145,1129,1075,1020,913,741,491,1166.06,1157.13,1156.06,1146.88,1132.38,1113.69,1044.06,992.69,761.47,487.89,20.48
15,1121.88,1160.88,1152.94,1145,1129,1078,1011,895,725,492,1164.88,1159.5,1157.06,1153.06,1137.56,1118.19,1035.25,974.69,736.28,488.48,20.31
16,1127.25,1162.81,1156.56,1147,1131,1070,1001,877,714,493,1165.25,1156.06,1151.38,1143.38,1125.38,1100.75,1018,956.88,730.38,488.69,20.21
17,1126.06,1162.94,1155.38,1141,1121,1060,990,863,704,494,1155.63,1154.88,1150.75,1149.44,1132.69,1107.69,1013.28,944.78,713.28,488.39,20.09
18,1128.38,1165.38,1158.81,1143,1121,1053,974,838,688,496,1158.94,1150.75,1147,1139.69,1125.88,1102.06,994.78,923.09,705.69,493,19.98
19,1122.44,1164.94,1155.38,1141,1117,1049,965,825,674,491,1153.56,1152.88,1140.81,1135.38,1119.38,1096.38,994,919.19,686.28,489.48,20.05
20,1120.25,1156.94,1153,1136,1111,1039,953,815,660,456,1165.75,1158.31,1159.75,1153.19,1139.25,1116.38,1014.28,939.47,691.59,482.8,20.07
21,1121.88,1155.06,1152.88,1138,1114,1049,972,835,671,477,1164.06,1157.38,1159.44,1145.44,1123.75,1092.75,993.28,924.28,693.59,488,20.18
22,1117.25,1160.81,1150.94,1142,1125,1062,985,849,680,487,1162,1162.19,1152.81,1149.44,1133.75,1109.56,1015.78,946,704.47,490.69,20.17
23,1121.88,1154.56,1151.31,1139,1122,1064,992,860,691,487,1158.81,1151.13,1156.13,1153.44,1139.56,1119.25,1025.56,953.88,706.28,489.69,20.28
24,1124.535,1158.75,1152.47,1140.5,1124.5,1066,997,868,695.5,486,1163.06,1153.755,1155.97,1147.315,1131.78,1110.655,1024.28,957.88,714.53,490.04,20.32
25,1127.19,1162.94,1153.63,1142,1127,1068,1002,876,700,485,1167.31,1156.38,1155.81,1141.19,1124,1102.06,1023,961.88,722.78,490.39,20.36
26,1124.13,1161.38,1152.94,1141,1123,1059,994,877,705,486,1158.75,1157.13,1144.44,1137,1125.06,1112.06,1036.56,970,722,489.8,20.38
27,1124.5,1163.06,1155.44,1143,1129,1073,1011,886,707,489,1157.94,1158.63,1151.5,1149.56,1134.88,1121.44,1047.69,984.78,731.38,492.8,20.42
28,1125.5,1160.5,1154.13,1142,1125,1064,999,879,702,491,1158.44,1156.81,1155.38,1152.56,1140.38,1125.69,1050.88,987.69,733.19,493.3,20.38
29,1121.13,1160.81,1152.75,1147,1133,1072,1007,881,701,415,1161.38,1159.81,1153.25,1151.25,1137.88,1119,1043,981.09,731.38,483.09,20.46
30,1123.38,1155.38,1150.38,1136,1117,1059,1006,896,715,463,1157,1155.06,1152.06,1139.69,1122.25,1103.25,1037.06,979.88,735.88,484.8,20.44
31,1118.63,1152.13,1141.44,1134,1124,1073,1022,915,735,484,1155.06,1154.88,1144.25,1141,1128.38,1113,1046.75,991.38,746.59,486.69,20.58
32,1119.69,1158.31,1148.69,1141,1124,1068,1014,910,724,480,1159,1156.25,1142.94,1138,1123.06,1103.56,1027,963.78,707.59,480.89,20.58
33,1125.19,1163.94,1153.94,1143,1128,1071,1015,905,739,494,1161.13,1150.75,1142.38,1135.69,1123.69,1110.38,1043.19,986.59,724.09,487.39,20.72
34,1124.69,1163.13,1154.75,1145,1132,1080,1031,930,757,500,1158.81,1163.13,1153.38,1150.19,1135.56,1122.19,1056,997.28,731.88,494.69,20.62
35,1125.19,1163.69,1154.88,1145,1132,1083,1038,941,758,493,1157.81,1160.25,1150.75,1149.38,1136.88,1118.56,1050.06,995.69,736.38,490.09,20.53
36,1124.19,1160.31,1153.63,1143,1127,1072,1022,930,758,487,1158.75,1158.75,1155.38,1151.06,1137.25,1119.75,1056.19,1002.69,743.47,484.19,20.87
37,1125.25,1160.31,1154.56,1146,1135,1085,1042,951,765,481,1157.81,1159.81,1153.63,1153.38,1142.06,1129.69,1070.06,1016.19,752.69,480.19,20.88
38,1123.25,1161.75,1154.06,1149,1139,1091,1050,960,765,481,1161.38,1162.69,1156.13,1151.19,1132.25,1114.56,1058.88,1009.78,751,478.48,20.98
39,1125.19,1158.81,1155.06,1146,1134,1084,1041,953,771,481,1160.94,1152.19,1151.25,1144,1133.19,1118.44,1055.19,1000.78,744.19,479.59,20.79
40,1123.75,1163.44,1154.94,1144,1128,1073,1014,898,734,485,1160.25,1156.38,1150.75,1142.19,1128.25,1109.44,1030.88,966.47,715.78,483,20.38
41,1121.94,1163.75,1154.13,1142,1122,1053,979,848,698,489,1156.13,1151.25,1145.81,1148,1130,1104,1002.69,930.69,689.88,486,20.12
42,1121.25,1160.31,1153.44,1143,1119,1049,963,832,680,481,1158.63,1157.13,1145.75,1144.19,1130.38,1107.06,990.38,910.28,667.38,478.39,19.99
43,1124.81,1163.94,1158.69,1145,1126,1057,970,826,667,473,1160.19,1158.94,1154.56,1142.06,1123.06,1096,982.69,906.69,660.88,471.8,20.1
44,1124.31,1164.19,1158.31,1145,1126,1059,977,838,674,469,1151.5,1153.44,1144.94,1137.69,1118.56,1093.06,984.09,908.09,658.19,468.39,19.97
45,1118.56,1162.94,1153.19,1141,1122,1053,975,843,685,476,1159.94,1155.19,1149,1145.06,1129,1105.69,1003.69,927.59,673.19,475.59,20.07
46,1119.69,1154.56,1151.5,1132,1114,1050,977,850,691,478,1161.5,1153.75,1159.75,1150.19,1131.56,1108.19,1002.69,927.59,673.38,477.89,20.1
47,1118.63,1158.69,1150.56,1136,1112,1047,972,841,692,477,1162.31,1165.38,1157,1152.44,1135.38,1109.56,1006.59,930.38,670.28,475.09,20.12
48,1123.44,1153.69,1148.25,1130,1111,1048,975,849,688,476,1162.75,1153.06,1157.13,1151.19,1135.38,1111.88,1015.28,943.28,679.28,475.89,20.13
49,1127.94,1163.31,1154.13,1146,1129,1069,995,864,691,475,1164.94,1157.44,1155.81,1142.88,1127.38,1106.56,1013.59,943.38,684.88,475.59,20.23
50,1127.75,1168.44,1159.44,1148,1129,1065,996,868,697,474,1161.81,1158.75,1156.13,1150.75,1134.38,1112.56,1025.69,955.78,694.38,475.59,20.3
51,1126.63,1163.56,1159.38,1146,1127,1065,995,858,691,416,1158.94,1154.63,1152.44,1139,1124.19,1102.75,1019.88,951.88,698.38,473.3,20.31
52,1128.56,1163.75,1153.44,1138,1122,1067,1001,869,695,446,1161.31,1150.75,1150.5,1134.06,1116.56,1095.44,1010.78,945.47,695.09,476,20.29
53,1124.63,1163.31,1151.63,1137,1117,1059,995,874,707,469,1164,1157.38,1150.38,1142,1128,1105.69,1024.88,958.47,711.38,480.59,20.37
54,1125.25,1167,1156.38,1145,1129,1071,1009,893,721,480,1153.44,1156.13,1149.63,1143.69,1125.88,1103.38,1024.88,962.59,712,482.8,20.5
55,1119.44,1164.94,1156.56,1147,1130,1076,1018,905,731,477,1163.38,1161,1150.5,1148.44,1136.19,1119.56,1045.25,980.69,716.19,479.89,20.43
56,1123.75,1158.69,1152.44,1141,1128,1073,1017,909,736,477,1155.81,1154.63,1147.56,1143.19,1127.69,1110.44,1038.38,979.47,722.69,477.19,20.58
57,1127.88,1158.69,1157.94,1146,1131,1077,1026,920,744,481,1159.94,1149.19,1153.25,1148.75,1136.19,1117.88,1043,983.09,719.09,481.09,20.65
58,1123.69,1160.81,1154.75,1142,1123,1071,1020,924,753,482,1154.63,1149,1146.63,1143.38,1129.69,1113.19,1050.69,995.88,736.78,478.89,20.45
59,1119.94,1157.13,1143.69,1129,1113,1062,1018,929,756,481,1153.38,1152.44,1145.13,1138.69,1124.75,1105.38,1039.06,984.47,733.78,479.09,20.61
60,1123.69,1152.94,1151.63,1144,1131,1080,1035,943,765,480,1147.56,1144.13,1144.56,1140.56,1128.19,1112.38,1048.25,995.88,741.69,477.89,20.71
61,1125.75,1164.94,1152,1140,1128,1078,1037,945,767,480,1163.19,1156.13,1149.44,1145.25,1130,1112.88,1049.25,1000.59,751.88,477.19,20.85
62,1127.88,1161.56,1155.06,1150,1138,1088,1041,941,753,460,1158.44,1156.63,1148.44,1146.56,1133.69,1115.88,1052.88,1003.19,753.78,473.48,20.77
63,1127.56,1166.44,1157.06,1147,1132,1081,1040,956,776,474,1162.88,1155.06,1151.69,1151.19,1139.88,1125.06,1067.19,1019.38,767.28,481.19,20.77
64,1121.94,1163.44,1152.25,1145,1134,1085,1039,936,764,479,1160.25,1152.19,1149.5,1146.06,1135.88,1122.19,1057.88,1003,750.47,481.3,20.57
65,1127.94,1163.25,1158.81,1147,1128,1068,1003,879,725,482,1163.31,1151,1152.06,1144.06,1132.25,1116.69,1037,967.88,724.69,483.39,20.22
66,1125.31,1162.81,1152.69,1135,1116,1047,968,830,700,483,1161.13,1153.38,1150.88,1151.56,1137.06,1112.88,1012.28,938,696.59,484.59,19.94
67,1117.31,1157.81,1145.44,1130,1110,1040,953,808,669,481,1160.19,1157,1157.44,1147.69,1129.44,1102.25,997.78,920.88,683.88,486.3,20.05
68,1124.81,1167.88,1157.69,1140,1114,1040,950,806,663,466,1164.94,1161.69,1151.56,1142.38,1126,1101.75,1003.28,927.78,684.78,484.3,20.01
69,1127.94,1158.81,1154.88,1140,1117,1045,961,820,668,476,1163.13,1150.63,1147.44,1129,1111.25,1085.25,986.38,915.28,684.19,489.59,20.15
70,1128.5,1159.94,1145.94,1128,1107,1043,965,829,677,481,1163.44,1157.13,1148.5,1136.69,1119.25,1095.88,1000.88,929.28,689.28,490.8,20.13
71,1131,1163.88,1155.38,1137,1115,1052,972,838,683,484,1167.75,1160.94,1162.13,1152.38,1133.69,1106.75,1009,938.59,696.78,491.19,20.23
72,1125.88,1161.69,1146.81,1134,1116,1055,980,849,687,484,1157.25,1156.13,1153.88,1151.19,1134.25,1108,1011.78,939.47,694.69,490.19,20.27
73,1121.94,1163.13,1152,1139,1121,1055,972,812,665,262,1167.31,1158.13,1152.19,1143.56,1127.69,1105.38,1013.69,939.59,687.19,472.39,20.23
74,1115.94,1155.44,1144,1131,1111,1045,969,833,670,412,1160.94,1149.63,1157,1148.44,1130,1108.25,1019.88,947,693.28,478.59,20.34
75,1132,1152.13,1154.44,1140,1122,1067,1018,915,727,481,1157.13,1146,1151,1145.88,1132.06,1115.25,1053.44,1004.88,790.19,480.89,20.69
