,protein,abs1,abs2,abs3,abs4,abs5,abs6
train1,9.23,468,123,246,374,386,-11
train2,8.01,458,112,236,368,383,-15
train3,10.95,457,118,240,359,353,-16
train4,11.67,450,115,236,352,340,-15
train5,10.41,464,119,243,366,371,-16
train6,9.51,499,147,273,404,433,5
train7,8.67,463,119,242,370,377,-12
train8,7.75,462,115,238,370,353,-13
train9,8.05,488,134,258,393,377,-5
train10,11.39,483,141,264,384,398,-2
train11,9.95,463,120,243,367,378,-13
train12,8.25,456,111,233,365,365,-15
train13,10.57,512,161,288,415,443,12
train14,10.23,518,167,293,421,450,19
train15,11.87,552,197,324,448,467,32
train16,8.09,497,146,271,407,451,11
train17,12.55,592,229,360,484,524,51
train18,8.38,501,150,274,406,407,11
train19,9.64,483,137,260,385,374,-3
train20,11.35,491,147,269,389,391,1
train21,9.7,463,121,242,366,353,-13
train22,10.75,507,159,285,410,445,13
train23,10.75,474,132,255,376,383,-7
train24,11.47,496,152,276,396,404,6
test1,8.66,486,144,266,393,373,26
test2,7.9,485,136,260,393,395,6
test3,9.27,482,136,260,388,423,-2
test4,11.77,443,112,232,346,355,-18
test5,9.7,478,134,257,382,390,-5
test6,10.46,449,113,233,351,343,-18
test7,10.17,461,121,243,366,378,-14
test8,11.1,503,155,280,403,414,6
test9,12.03,493,146,271,390,378,-3
test10,9.43,368,40,158,275,250,-63
test11,8.66,462,114,237,367,331,-19
test12,14.44,438,109,229,333,326,-28
test13,8.5,478,127,252,384,378,-11
test14,10.41,405,73,193,311,305,-44
test15,9.72,498,146,273,403,415,0
test16,11.69,442,106,226,341,303,-28
test17,12.19,457,118,240,354,327,-23
test18,11.59,439,103,224,339,325,-29
test19,8.76,500,146,272,404,398,5
test20,8.6,427,85,207,334,319,-36
test21,8.54,479,128,253,384,382,-10
test22,9.34,444,102,224,350,333,-27
test23,10.09,458,118,239,362,355,-16
test24,8.72,518,162,290,426,464,16
test25,10.87,465,124,247,369,386,-13
test26,10.89,457,120,242,363,411,-15
